date,DCC_rho
2006-07-01,-0.09228412014787145
2006-08-01,-0.09073778883617376
2006-09-01,-0.08968539945722713
2006-10-01,-0.09421975922612756
2006-11-01,-0.094308378304407
2006-12-01,-0.08684495002688232
2007-01-01,-0.0875173033928573
2007-02-01,-0.08789448537983717
2007-03-01,-0.10045766597463068
2007-04-01,-0.09424393477583518
2007-05-01,-0.07972734522542338
2007-06-01,-0.0880493264453545
2007-07-01,-0.08255725913520846
2007-08-01,-0.08852112815117597
2007-09-01,-0.08845033573902382
2007-10-01,-0.0693886311130268
2007-11-01,-0.0757029500268155
2007-12-01,-0.10518975138506573
2008-01-01,-0.09560649768993981
2008-02-01,-0.13222214512823094
2008-03-01,-0.11439590862332094
2008-04-01,-0.10310162960447762
2008-05-01,-0.10599876755286637
2008-06-01,-0.09694309838843562
2008-07-01,-0.08781995067175416
2008-08-01,-0.09084405354486456
2008-09-01,-0.0881981668330529
2008-10-01,-0.08097551301014584
2008-11-01,-0.0648763348098766
2008-12-01,-0.06671621497045982
2009-01-01,-0.07706080400350124
2009-02-01,-0.09103822677160735
2009-03-01,-0.10996366033591169
2009-04-01,-0.10139597794613282
2009-05-01,-0.10057564575989669
2009-06-01,-0.09022284451916054
2009-07-01,-0.08937560475272342
2009-08-01,-0.09164406917426617
2009-09-01,-0.08866426047942769
2009-10-01,-0.08249848596360136
2009-11-01,-0.09017897343295352
2009-12-01,-0.07040757539522072
2010-01-01,-0.07937119038389476
2010-02-01,-0.07882656655924741
2010-03-01,-0.08604246330590576
2010-04-01,-0.08282570841621502
2010-05-01,-0.08420213036250196
2010-06-01,-0.11220719626226294
2010-07-01,-0.10450273182228696
2010-08-01,-0.10515086371176496
2010-09-01,-0.0997183535193929
2010-10-01,-0.07770424132245997
2010-11-01,-0.07621780355618483
2010-12-01,-0.08300645338913377
2011-01-01,-0.08199724840446003
2011-02-01,-0.0868966517285955
2011-03-01,-0.0865056905849619
2011-04-01,-0.08897949502094042
2011-05-01,-0.08240817750093898
2011-06-01,-0.08808157729181867
2011-07-01,-0.08942500708327514
2011-08-01,-0.09482591689884305
2011-09-01,-0.14656171151961858
2011-10-01,-0.11657094366703712
2011-11-01,-0.1215353721225389
2011-12-01,-0.10570020050192935
2012-01-01,-0.09587488473485832
2012-02-01,-0.09113006354112736
2012-03-01,-0.08198467649379841
2012-04-01,-0.08932839544048986
2012-05-01,-0.08688039222956634
2012-06-01,-0.06739888949091172
2012-07-01,-0.07761902373049363
2012-08-01,-0.08317984785745827
2012-09-01,-0.08419569721782974
2012-10-01,-0.07690379407873532
2012-11-01,-0.08177561463215935
2012-12-01,-0.0841483156766351
2013-01-01,-0.08566810256357303
2013-02-01,-0.09080300636365782
2013-03-01,-0.08973596510785402
2013-04-01,-0.09491328283060403
2013-05-01,-0.09564775297803545
2013-06-01,-0.09613234646607038
2013-07-01,-0.08099495576110462
2013-08-01,-0.09737312917330708
2013-09-01,-0.10315513529684386
2013-10-01,-0.09607158342314047
2013-11-01,-0.09812536502695358
2013-12-01,-0.09721200134962842
2014-01-01,-0.09700820404431845
2014-02-01,-0.09627044737793782
2014-03-01,-0.08177349278368767
2014-04-01,-0.08510830022074956
2014-05-01,-0.08574061885591863
2014-06-01,-0.08814111307466942
2014-07-01,-0.08924818521470117
2014-08-01,-0.09341210765693574
2014-09-01,-0.09515307050679436
2014-10-01,-0.07722524553183277
2014-11-01,-0.08472020216601256
2014-12-01,-0.09253677428030994
2015-01-01,-0.09212337889095971
2015-02-01,-0.10387690412031873
2015-03-01,-0.1036189685119265
2015-04-01,-0.08579380027206877
2015-05-01,-0.08691688359200447
2015-06-01,-0.08760604790703223
2015-07-01,-0.08169585601730457
2015-08-01,-0.0894675826897704
2015-09-01,-0.0773753509423487
2015-10-01,-0.08303097443947281
2015-11-01,-0.07139483816695433
2015-12-01,-0.07504281421967815
2016-01-01,-0.07968092302226529
2016-02-01,-0.0889479721810754
2016-03-01,-0.09188836794861628
2016-04-01,-0.08050031429705382
2016-05-01,-0.08421749868986012
2016-06-01,-0.08576310118807992
2016-07-01,-0.08735324025423218
